epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,383.646,3.99912,3.99259,0.02529,0.17801,0.089,0.04598,0.01482,3.28973,2.8303,0.01457,0.00999689,0.0033323,0.00999689,0.0033323,0.00999689,0.0033323,0.00999689,0.0033323
2,746.875,3.27277,2.33458,0.01117,0.40007,0.18959,0.16128,0.06273,2.8015,1.92121,0.01038,0.0199771,0.00665903,0.0199771,0.00665903,0.0199771,0.00665903,0.0199771,0.00665903
3,1062.38,2.99758,1.9684,0.0093,0.48081,0.22876,0.22253,0.09254,2.6368,1.68935,0.00925,0.0299375,0.00997917,0.0299375,0.00997917,0.0299375,0.00997917,0.0299375,0.00997917
4,1366.72,2.84521,1.80135,0.00839,0.53895,0.26889,0.27273,0.11748,2.53228,1.51565,0.00877,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,1676.46,2.72862,1.66236,0.00772,0.58808,0.2869,0.30097,0.13296,2.47054,1.44814,0.00823,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,1992.53,2.66101,1.59201,0.00725,0.58531,0.30336,0.31958,0.14249,2.41952,1.37948,0.00776,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,2299.36,2.62554,1.55023,0.00715,0.60978,0.30877,0.3304,0.14926,2.39912,1.33382,0.00779,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,2621.6,2.58014,1.50679,0.00692,0.61738,0.32064,0.34337,0.15664,2.36756,1.31371,0.00752,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,2935.72,2.56517,1.47589,0.00677,0.63459,0.33131,0.35814,0.16515,2.31978,1.29253,0.0073,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,3245.76,2.53131,1.44957,0.00655,0.64828,0.33784,0.36661,0.16982,2.28565,1.25206,0.0071,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,3545.3,2.51339,1.42736,0.00649,0.6481,0.34202,0.3698,0.17007,2.29791,1.25365,0.00722,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,3838.01,2.48779,1.40981,0.00647,0.66056,0.34893,0.37799,0.17727,2.26025,1.21665,0.00696,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,4131.43,2.47793,1.39472,0.00641,0.6596,0.35361,0.38572,0.18183,2.24015,1.18479,0.00688,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,39099.4,2.45613,1.38115,0.00636,0.65216,0.35537,0.3852,0.18284,2.24448,1.20151,0.0069,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,39440.4,2.45535,1.37221,0.00631,0.67062,0.36011,0.39539,0.1862,2.21856,1.18595,0.00675,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,39766.7,2.43429,1.35781,0.0062,0.67286,0.36244,0.39561,0.18667,2.22523,1.18718,0.00679,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,40106.1,2.43071,1.34733,0.00619,0.67736,0.3682,0.40227,0.19074,2.19924,1.16231,0.00663,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,40488.6,2.42202,1.33521,0.00611,0.67693,0.37049,0.40488,0.19113,2.20565,1.16032,0.00664,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,421.491,2.40599,1.32265,0.00611,0.67951,0.3723,0.4072,0.19308,2.20276,1.14128,0.00677,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,758.426,2.41815,1.32768,0.00604,0.67983,0.37272,0.40788,0.19661,2.18339,1.14459,0.00657,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,1125.72,2.40275,1.3161,0.0061,0.68156,0.37565,0.41176,0.1965,2.17501,1.13651,0.00652,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,1545.08,2.39196,1.31385,0.00603,0.68661,0.3779,0.41522,0.19914,2.17074,1.12517,0.0065,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,1878.57,2.38109,1.30654,0.00594,0.68815,0.37888,0.41767,0.20089,2.16987,1.12915,0.00648,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,2235.42,2.3819,1.30075,0.00586,0.68988,0.37976,0.41755,0.20205,2.15731,1.11575,0.00641,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,400.076,2.35414,1.2756,0.00587,0.68522,0.38529,0.42107,0.20374,2.15976,1.1022,0.00645,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,815.216,2.3709,1.28445,0.00583,0.69574,0.38296,0.42384,0.20702,2.14033,1.10272,0.00638,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
